Common_Name,Scientific_Name
Iris lorikeet,Saudareos iris
Isabela oriole,Oriolus isabellae
Isabelline bush-hen,Amaurornis isabellina
Isabelline shrike,Lanius isabellinus
Isabelline wheatear,Oenanthe isabellina
Island bronze-naped pigeon,Columba malherbii
Island imperial pigeon,Ducula pistrinaria
Island leaf warbler,Phylloscopus poliocephalus
Island monarch,Monarcha cinerascens
Island scrub jay,Aphelocoma insularis
Island swiftlet,Aerodramus inquietus
Island thrush,Turdus poliocephalus
Island whistler,Pachycephala phaionota
Islet kingfisher,Todiramphus colonus
Isthmian wren,Cantorchilus elutus
Italian sparrow,Passer italiae
Itatiaia spinetail,Asthenes moreirae
Itombwe owl,Phodilus prigoginei
Ituri batis,Batis ituriensis
Ivory gull,Pagophila eburnea
Ivory-backed woodswallow,Artamus monachus
Ivory-billed aracari,Pteroglossus azara
Ivory-billed coucal,Centropus menbeki
Ivory-billed woodcreeper,Xiphorhynchus flavigaster
Ivory-billed woodpecker,Campephilus principalis
Ivory-breasted pitta,Pitta maxima
Izu thrush,Turdus celaenops
Jabiru,Jabiru mycteria
Jack snipe,Lymnocryptes minimus
Jackal buzzard,Buteo rufofuscus
Jackson's hornbill,Tockus jacksoni
Jackson's spurfowl,Pternistis jacksoni
Jackson's widowbird,Euplectes jacksoni
Jackson's widowbird,E. jacksoni
Jackson's widowbird,Ploceus weynsi
Jacky winter,Microeca fascinans
Jacobin cuckoo,Clamator jacobinus
Jalca tapaculo,Scytalopus frankeae
Jamaican becard,Pachyramphus niger
Jamaican blackbird,Nesopsar nigerrimus
Jamaican crow,Corvus jamaicensis
Jamaican elaenia,Myiopagis cotta
Jamaican euphonia,Euphonia jamaica
Jamaican lizard cuckoo,Coccyzus vetula
Jamaican mango,Anthracothorax mango
Jamaican oriole,Icterus leucopteryx
Jamaican owl,Asio grammicus
Jamaican petrel,Pterodroma caribbaea
Jamaican pewee,Contopus pallidus
Jamaican poorwill,Siphonorhis americana
Jamaican spindalis,Spindalis nigricephala
Jamaican tody,Todus todus
Jamaican vireo,Vireo modestus
Jamaican woodpecker,Melanerpes radiolatus
Jambandu indigobird,Vidua raricola
Jambu fruit dove,Ptilinopus jambu
James's flamingo,Phoenicoparrus jamesi
Jameson's antpecker,Parmoptila jamesoni
Jameson's firefinch,Lagonosticta rhodopareia
Jameson's snipe,Gallinago jamesoni
Jameson's wattle-eye,Platysteira jamesoni
Jandaya parakeet,Aratinga jandaya
Jankowski's bunting,Emberiza jankowskii
Japanese accentor,Prunella rubida
Japanese bush warbler,Horornis diphone
Japanese cormorant,Phalacrocorax capillatus
Japanese green woodpecker,Picus awokera
Japanese grosbeak,Eophona personata
Japanese leaf warbler,Phylloscopus xanthodryas
Japanese murrelet,Synthliboramphus wumizusume
Japanese night heron,Gorsachius goisagi
Japanese pygmy woodpecker,Yungipicus kizuki
Japanese quail,Coturnix japonica
Japanese robin,Larvivora akahige
Japanese scops owl,Otus semitorques
Japanese sparrowhawk,Accipiter gularis
Japanese thrush,Turdus cardis
Japanese tit,Parus minor
Japanese wagtail,Motacilla grandis
Japanese waxwing,Bombycilla japonica
Java sparrow,Lonchura oryzivora
Javan banded pitta,Hydrornis guajanus
Javan black-capped babbler,Pellorneum capistratum
Javan blue flycatcher,Cyornis banyumas
Javan blue robin,Myiomela diana
Javan blue-banded kingfisher,Alcedo euryzona
Javan bulbul,Ixos virescens
Javan bush warbler,Locustella montis
Javan cochoa,Cochoa azurea
Javan cuckooshrike,Coracina javensis
Javan flameback,Chrysocolaptes strictus
Javan frogmouth,Batrachostomus javensis
Javan fulvetta,Alcippe pyrrhoptera
Javan green magpie,Cissa thalassina
Javan hawk-eagle,Nisaetus bartelsi
Javan kingfisher,Halcyon cyanoventris
Javan lapwing,Vanellus macropterus
Javan leafbird,Chloropsis cochinchinensis
Javan munia,Lonchura leucogastroides
Javan myna,Acridotheres javanicus
Javan oriole,Oriolus cruentus
Javan owlet,Glaucidium castanopterum
Javan pied myna,Gracupica jalla
Javan plover,Anarhynchus javanicus
Javan plover,Charadrius javanicus
Javan pond heron,Ardeola speciosa
Javan scimitar babbler,Pomatorhinus montanus
Javan scops owl,Otus angelinae
Javan shortwing,Brachypteryx montana
Javan sunbird,Aethopyga mystacalis
Javan tesia,Tesia superciliaris
Javan trogon,Apalharpactes reinwardtii
Javan whistling thrush,Myophonus glaucinus
Javan white-eye,Zosterops flavus
Javan woodcock,Scolopax saturata
Jelski's black tyrant,Knipolegus signatus
Jelski's chat-tyrant,Silvicultrix jelskii
Jerdon's babbler,Chrysomma altirostre
Jerdon's baza,Aviceda jerdoni
Jerdon's bush chat,Saxicola jerdoni
Jerdon's bush lark,Mirafra affinis
Jerdon's courser,Rhinoptilus bitorquatus
Jerdon's leafbird,Chloropsis jerdoni
Jerdon's minivet,Pericrocotus albifrons
Jerdon's nightjar,Caprimulgus atripennis
Jet antbird,Cercomacra nigricans
Jet manakin,Chloropipo unicolor
Jobi manucode,Manucodia jobiensis
Jocotoco antpitta,Grallaria ridgelyi
Johanna's sunbird,Cinnyris johannae
Johannes's tody-tyrant,Hemitriccus iohannis
Jonquil parrot,Aprosmictus jonquillaceus
Jos Plateau indigobird,Vidua maryae
Josephine's lorikeet,Charmosyna josefinae
Jouanin's petrel,Bulweria fallax
Joyful greenbul,Chlorocichla laetissima
Juan Fernández firecrown,Sephanoides fernandensis
Juan Fernández petrel,Pterodroma externa
Juan Fernández tit-tyrant,Anairetes fernandezianus
Juba weaver,P. dichrocephalus
Juba weaver,Ploceus dichrocephalus
Juba weaver,Ploceus weynsi
Jungle babbler,Argya striata
Jungle bush quail,Perdicula asiatica
Jungle myna,Acridotheres fuscus
Jungle nightjar,Caprimulgus indicus
Jungle owlet,Glaucidium radiatum
Jungle prinia,Prinia sylvatica
Junin grebe,Podiceps taczanowskii
Junin tapaculo,Scytalopus gettyae
Juniper titmouse,Baeolophus ridgwayi
Junín canastero,Asthenes virgata
Kabobo apalis,Apalis kaboboensis
Kadavu fantail,Rhipidura personata
Kadavu honeyeater,Meliphacator provocator
Kaempfer's tody-tyrant,Hemitriccus kaempferi
Kaempfer's woodpecker,Celeus obrieni
Kagu,Rhynochetos jubatus
Kai cicadabird,Edolisoma dispar
Kai monarch,Symposiachrus leucurus
Kakamega greenbul,Arizelocichla kakamegae
Kalahari scrub robin,Cercotricha paena
Kalahari scrub robin,Cercotrichas paena
Kalij pheasant,Lophura leucomelanos
Kalinowski's chat-tyrant,Silvicultrix spodionota
Kalkadoon grasswren,Amytornis ballarae
Kamchatka leaf warbler,Phylloscopus examinandus
Kandt's waxbill,Estrilda kandti
Karamoja apalis,Apalis karamojae
Karoo chat,Emarginata schlegelii
Karoo eremomela,Eremomela gregalis
Karoo korhaan,Heterotetrax vigorsii
Karoo lark,Calendulauda albescens
Karoo long-billed lark,Certhilauda subcoronata
Karoo prinia,Prinia maculosa
Karoo scrub robin,Cercotrichas coryphoeus
Karoo thrush,Turdus smithi
Karthala scops owl,Otus pauliani
Karthala white-eye,Zosterops mouroniensis
Kashmir flycatcher,Ficedula subrubra
Kashmir nuthatch,Sitta cashmirensis
Katanga masked weaver,Ploceus weynsi
Katanga masked weaver,Ploceus katangae
Katanga masked weaver,P. katangae
Kauaʻi nukupuʻu,Hemignathus hanapepe
Kauaʻi ʻamakihi,Chlorodrepanis stejnegeri
Kauaʻi ʻelepaio,Chasiempis sclateri
Kawall's amazon,Amazona kawalli
Kea,KEE-ə
Kea,Nestor notabilis
Keel-billed motmot,Electron carinatum
Keel-billed toucan,Ramphastos sulfuratus
Kelp goose,Chloephaga hybrida
Kelp gull,Larus dominicanus
Kemp's longbill,Macrosphenus kempi
Kenrick's starling,Poeoptera kenricki
Kentish plover,Charadrius alexandrinus
Kentish plover,Anarhynchus alexandrinus
Kentucky warbler,Geothlypis formosa
Kenya sparrow,Passer rufocinctus
Kererū,Hemiphaga novaeseelandiae
Kerguelen petrel,Aphrodroma brevirostris
Kerguelen shag,Leucocarbo verrucosus
Kerguelen tern,Sterna virgata
Kermadec petrel,Pterodroma neglecta
Key West quail-dove,Geotrygon chrysia
Kikau,Foulehaio procerior
Kikuyu white-eye,Zosterops kikuyuensis
Killdeer,Charadrius vociferus
Kilombero weaver,Ploceus burnieri
Kilombero weaver,P. burnieri
Kilombero weaver,Ploceus weynsi
Kimberley honeyeater,Territornis fordiana
King bird-of-paradise,Cicinnurus regius
King eider,Somateria spectabilis
King of Saxony bird-of-paradise,Pteridophora alberti
King penguin,Aptenodytes patagonicus
King quail,Synoicus chinensis
King rail,Rallus elegans
King vulture,Sarcoramphus papa
Kinglet calyptura,Calyptura cristata
Kinglet manakin,Machaeropterus regulus
Kipengere seedeater,Crithagra melanochroa
Kirk's white-eye,Zosterops kirki
Kirtland's warbler,Setophaga kirtlandii
Kittlitz's murrelet,Brachyramphus brevirostris
Kittlitz's plover,Charadrius pecuarius
Kittlitz's plover,Anarhynchus pecuarius
Klaas's cuckoo,Chrysococcyx klaas
Klages's antbird,Drymophila klagesi
Klages's antwren,Myrmotherula klagesi
Kloss's leaf warbler,Phylloscopus ogilviegranti
Knob-billed duck,Sarkidiornis melanotos
Knob-billed fruit dove,Ptilinopus insolitus
Knobbed hornbill,Rhyticeros cassidix
Knysna turaco,Tauraco corythaix
Knysna warbler,Bradypterus sylvaticus
Knysna woodpecker,Campethera notata
Koepcke's hermit,Phaethornis koepckeae
Koepcke's screech owl,Megascops koepckeae
Kofiau monarch,Symposiachrus julianae
Kofiau paradise kingfisher,Tanysiptera ellioti
Koklass pheasant,Pucrasia macrolopha
Kolombangara leaf warbler,Phylloscopus amoenus
Kolombangara monarch,Symposiachrus browni
Kolombangara white-eye,Zosterops murphyi
Kordofan lark,Mirafra cordofanica
Kordofan sparrow,Passer cordofanicus
Kori bustard,Ardeotis kori
Kosrae crake,Zapornia monasa
Kosrae fruit dove,Ptilinopus hernsheimi
Kosrae white-eye,Zosterops cinereus
Kozlov's accentor,Prunella koslowi
Kretschmer's longbill,Macrosphenus kretschmeri
Krüper's nuthatch,Sitta krueperi
Kuhl's lorikeet,Vini kuhlii
Kungwe apalis,Apalis argentea
Kurdish wheatear,Oenanthe xanthoprymna
Kurrichane thrush,Turdus libonyana
Kākāpō,kākāpō
Kākāpō,Strigops habroptila
La Sagra's flycatcher,Myiarchus sagrae
La Selle thrush,Turdus swalesi
Laced woodpecker,Picus vittatus
Lacrimose mountain tanager,Anisognathus lacrymosus
Ladder-backed woodpecker,Dryobates scalaris
Ladder-tailed nightjar,Hydropsalis climacocerca
Lady Amherst's pheasant,Chrysolophus amherstiae
Lafresnaye's piculet,Picumnus lafresnayi
Lafresnaye's vanga,Xenopirostris xenopirostris
Lagden's bushshrike,Malaconotus lagdeni
Laggar falcon,Falco jugger
Lake duck,Oxyura vittata
Lance-tailed manakin,Chiroxiphia lanceolata
Lanceolated monklet,Micromonacha lanceolata
Lanceolated warbler,Locustella lanceolata
Lanner falcon,Falco biarmicus
Lapland longspur,Calcarius lapponicus
Lappet-faced vulture,Torgos tracheliotos
Large Lifou white-eye,Zosterops inornatus
Large blue flycatcher,Cyornis magnirostris
Large cuckooshrike,Coracina macei
Large elaenia,Elaenia spectabilis
Large fig parrot,Psittaculirostris desmarestii
Large frogmouth,Batrachostomus auritus
Large green pigeon,Treron capellei
Large grey babbler,Argya malcolmi
Large ground finch,Geospiza magnirostris
Large hawk-cuckoo,Hierococcyx sparverioides
Large niltava,Niltava grandis
Large scimitar babbler,Erythrogenys hypoleucos
Large scrubwren,Sericornis nouhuysi
Large tree finch,Camarhynchus psittacula
Large woodshrike,Tephrodornis virgatus
Large wren-babbler,Turdinus macrodactylus
Large-billed antwren,Herpsilochmus longirostris
Large-billed crow,Corvus macrorhynchos
Large-billed gerygone,Gerygone magnirostris
Large-billed lark,Galerida magnirostris
Large-billed leaf warbler,Phylloscopus magnirostris
Large-billed reed warbler,Acrocephalus orinus
Large-billed scrubwren,Sericornis magnirostra
Large-billed seed finch,Sporophila crassirostris
Large-billed tern,Phaetusa simplex
Large-footed finch,Pezopetes capitalis
Large-footed tapaculo,Scytalopus macropus
Large-headed flatbill,Ramphotrigon megacephalum
Large-tailed antshrike,Mackenziaena leachii
Large-tailed nightjar,Caprimulgus macrurus
Lark bunting,Calamospiza melanocorys
Lark sparrow,Chondestes grammacus
Lark-like brushrunner,Coryphistera alaudina
Lark-like bunting,Emberiza impetuani
Latham's francolin,Peliperdix lathami
Latham's snipe,Gallinago hardwickii
Lattice-tailed trogon,Trogon clathratus
Laughing dove,Spilopelia senegalensis
Laughing falcon,Herpetotheres cachinnans
Laughing gull,Leucophaeus atricilla
Laughing kookaburra,Dacelo novaeguineae
Laura's woodland warbler,Phylloscopus laurae
Laurel pigeon,Columba junoniae
Lava gull,Leucophaeus fuliginosus
Lava heron,Butorides sundevalli
Lavender waxbill,Glaucestrilda caerulescens
Lawes's parotia,Parotia lawesii
Lawrence's goldfinch,Spinus lawrencei
Lawrence's thrush,Turdus lawrencii
Layard's parakeet,Psittacula calthrapae
Layard's warbler,Curruca layardi
Laysan albatross,Phoebastria immutabilis
Laysan duck,Anas laysanensis
Laysan finch,Telespiza cantans
Laysan honeycreeper,Himatione fraithii
Laysan rail,Zapornia palmeri
Lazuli bunting,Passerina amoena
Lazuli kingfisher,Todiramphus lazuli
Lazuline sabrewing,Campylopterus falcatus
Lazy cisticola,Cisticola aberrans
LeConte's sparrow,Ammospiza leconteii
LeConte's thrasher,Toxostoma lecontei
Leach's storm petrel,Hydrobates leucorhous
Leaden antwren,Myrmotherula assimilis
Leaden flycatcher,Myiagra rubecula
Leaden honeyeater,Ptiloprora plumbea
Leaf lorikeet,Trichoglossus weberi
Lear's macaw,Anodorhynchus leari
Least auklet,Aethia pusilla
Least bittern,Ixobrychus exilis
Least boobook,Ninox sumbaensis
Least flycatcher,Empidonax minimus
Least grebe,Tachybaptus dominicus
Least honeyguide,Indicator exilis
Least nighthawk,Chordeiles pusillus
Least poorwill,Siphonorhis brewsteri
Least sandpiper,Calidris minutilla
Least seedsnipe,Thinocorus rumicivorus
Least storm petrel,Hydrobates microsoma
Least tern,Sternula antillarum
Legge's flowerpecker,Dicaeum vincens
Legge's hawk-eagle,Nisaetus kelaarti
Lemon dove,Columba larvata
Lemon-bellied crombec,Sylvietta denti
Lemon-bellied flyrobin,Microeca flavigaster
Lemon-bellied white-eye,Zosterops chloris
Lemon-breasted canary,Crithagra citrinipectus
Lemon-browed flycatcher,Conopias cinchoneti
Lemon-chested greenlet,Hylophilus thoracicus
Lemon-rumped tanager,Ramphocelus icteronotus
Lemon-rumped warbler,Phylloscopus chloronotus
Lemon-spectacled tanager,Chlorothraupis olivacea
Lemon-throated barbet,Eubucco richardsoni
Lemon-throated leaf warbler,Phylloscopus cebuensis
Lesser Antillean bullfinch,Loxigilla noctis
Lesser Antillean flycatcher,Myiarchus oberi
Lesser Antillean pewee,Contopus latirostris
Lesser Antillean saltator,Saltator albicollis
Lesser Antillean swift,Chaetura martinica
Lesser Antillean tanager,Stilpnia cucullata
Lesser adjutant,Leptoptilos javanicus
Lesser bird-of-paradise,Paradisaea minor
Lesser black-backed gull,Larus fuscus
Lesser blue-eared starling,Lamprotornis chloropterus
Lesser coucal,Centropus bengalensis
Lesser crested tern,Thalasseus bengalensis
Lesser cuckoo,Cuculus poliocephalus
Lesser cuckooshrike,Lalage fimbriata
Lesser elaenia,Elaenia chiriquensis
Lesser fish eagle,Icthyophaga humilis
Lesser flamingo,Phoeniconaias minor
Lesser florican,Sypheotides indicus
Lesser frigatebird,Fregata ariel
Lesser goldfinch,Spinus psaltria
Lesser grass finch,Emberizoides ypiranganus
Lesser green leafbird,Chloropsis cyanopogon
Lesser greenlet,Pachysylvia decurtata
Lesser grey shrike,Lanius minor
Lesser ground cuckoo,Morococcyx erythropygus
Lesser ground robin,Amalocichla incerta
Lesser honeyguide,Indicator minor
Lesser hoopoe-lark,Alaemon hamertoni
Lesser horned owl,Bubo magellanicus
Lesser hornero,Furnarius minor
Lesser jacana,Microparra capensis
Lesser kestrel,Falco naumanni
Lesser kiskadee,Philohydor lictor
Lesser masked weaver,Ploceus intermedius
Lesser masked weaver,Ploceus weynsi
Lesser masked weaver,P. intermedius
Lesser melampitta,Melampitta lugubris
Lesser moorhen,Paragallinula angulata
Lesser necklaced laughingthrush,Garrulax monileger
Lesser nighthawk,Chordeiles acutipennis
Lesser noddy,Anous tenuirostris
Lesser nothura,Nothura minor
Lesser prairie-chicken,Tympanuchus pallidicinctus
Lesser racket-tailed drongo,Dicrurus remifer
Lesser redpoll,Acanthis cabaret
Lesser roadrunner,Geococcyx velox
Lesser scaup,Aythya affinis
Lesser seedcracker,Pyrenestes minor
Lesser shortwing,Brachypteryx leucophris
Lesser shrike-tyrant,Agriornis murinus
Lesser sooty owl,Tyto multipunctata
Lesser spotted eagle,Clanga pomarina
Lesser spotted woodpecker,Dryobates minor
Lesser striped swallow,Cecropis abyssinica
Lesser swallow-tailed swift,Panyptila cayennensis
Lesser swamp warbler,Acrocephalus gracilirostris
Lesser vasa parrot,Coracopsis nigra
Lesser violetear,Colibri cyanotus
Lesser wagtail-tyrant,Stigmatura napensis
Lesser whistling duck,Dendrocygna javanica
Lesser white-fronted goose,Anser erythropus
Lesser whitethroat,Curruca curruca
Lesser woodcreeper,Xiphorhynchus fuscus
Lesser yellow-headed vulture,Cathartes burrovianus
Lesser yellowlegs,Tringa flavipes
Lesser yellownape,Picus chlorolophus
Lesson's motmot,Momotus lessonii
Lesson's seedeater,Sporophila bouvronides
Letitia's thorntail,Discosura letitiae
Letter-winged kite,Elanus scriptus
Lettered aracari,Pteroglossus inscriptus
Levaillant's cisticola,Cisticola tinniens
Levaillant's cuckoo,Clamator levaillantii
Levaillant's woodpecker,Picus vaillantii
Levant sparrowhawk,Accipiter brevipes
Lewin's honeyeater,Meliphaga lewinii
Lewin's rail,Lewinia pectoralis
Lewis's woodpecker,Melanerpes lewis
Lichtenstein's sandgrouse,Pterocles lichtensteinii
Lidth's jay,Garrulus lidthi
Light-crowned spinetail,Cranioleuca albiceps
Light-mantled albatross,Phoebetria palpebrata
Light-vented bulbul,Pycnonotus sinensis
Lilac kingfisher,Cittura
Lilac-breasted roller,Coracias caudatus
Lilac-crowned amazon,Amazona finschi
Lilac-crowned fruit dove,Ptilinopus rarotongensis
Lilac-tailed parrotlet,Touit batavicus
Lilian's lovebird,Agapornis lilianae
Limestone leaf warbler,Phylloscopus calciatilis
Limpkin,Aramus guarauna
Lina's sunbird,Aethopyga linaraborae
Lincoln's sparrow,Melospiza lincolnii
Line-cheeked spinetail,Cranioleuca antisiensis
Line-fronted canastero,Asthenes urubambensis
Lineated barbet,Psilopogon lineatus
Lineated foliage-gleaner,Syndactyla subalaris
Lineated woodpecker,Dryocopus lineatus
Lined antshrike,Thamnophilus tenuepunctatus
Lined forest falcon,Micrastur gilvicollis
Lined quail-dove,Zentrygon linearis
Lined seedeater,Sporophila lineola
Lita woodpecker,Piculus litae
Little Inca finch,Incaspiza watkinsi
Little auk,Alle alle
Little bee-eater,Merops pusillus
Little bittern,Ixobrychus minutus
Little black cormorant,Phalacrocorax sulcirostris
Little blue heron,Egretta caerulea
Little bronze cuckoo,Chrysococcyx minutillus
Little brown bustard,Heterotetrax humilis
Little bunting,Emberiza pusilla
Little bustard,Tetrax tetrax
Little buttonquail,Turnix velox
Little chachalaca,Ortalis motmot
Little corella,Cacatua sanguinea
Little cormorant,Microcarbo niger
Little crake,Zapornia parva
Little crow,Corvus bennetti
Little cuckoo,Coccycua minuta
Little cuckoo-dove,Macropygia ruficeps
Little curlew,Numenius minutus
Little eagle,Hieraaetus morphnoides
Little egret,Egretta garzetta
Little forktail,Enicurus scouleri
Little friarbird,Philemon citreogularis
Little grassbird,Poodytes gramineus
Little grebe,Tachybaptus ruficollis
Little green pigeon,Treron olax
Little green sunbird,Anthreptes seimundi
Little green woodpecker,Campethera maculosa
Little greenbul,Eurillas virens
Little grey flycatcher,Muscicapa epulata
Little grey greenbul,Eurillas gracilis
Little grey woodpecker,Dendropicos elachus
Little ground tyrant,Syrtidicola fluviatilis
Little gull,Hydrocoloeus minutus
Little hermit,Phaethornis longuemareus
Little kingfisher,Ceyx pusillus
Little lorikeet,Parvipsitta pusilla
Little minivet,Pericrocotus lansbergei
Little nightjar,Setopagis parvula
Little owl,Athene noctua
Little paradise-kingfisher,Tanysiptera hydrocharis
Little penguin,Eudyptula minor
Little pied cormorant,Microcarbo melanoleucos
Little pied flycatcher,Ficedula westermanni
Little raven,Corvus mellori
Little ringed plover,Charadrius dubius
Little rock thrush,Monticola rufocinereus
Little rush warbler,Bradypterus baboecala
Little shearwater,Puffinus assimilis
Little slaty flycatcher,Ficedula basilanica
Little sparrowhawk,Accipiter minullus
Little spiderhunter,Arachnothera longirostra
Little spotted kiwi,Apteryx owenii
Little spotted woodpecker,Campethera cailliautii
Little stint,Calidris minuta
Little swift,Apus affinis
Little tern,Sternula albifrons
Little thornbird,Phacellodomus sibilatrix
Little tinamou,Crypturellus soui
Little wattlebird,Anthochaera chrysoptera
Little weaver,P. luteolus
Little weaver,Ploceus luteolus
Little weaver,Ploceus weynsi
Little wood rail,Aramides mangle
Little woodpecker,Veniliornis passerinus
Little woodstar,Chaetocercus bombus
Little woodswallow,Artamus minor
Little yellow flycatcher,Erythrocercus holochlorus
Littoral rock thrush,Monticola imerina
Livingstone's flycatcher,Erythrocercus livingstonei
Livingstone's turaco,Tauraco livingstonii
Lizard buzzard,Kaupifalco monogrammicus
Loango weaver,Ploceus weynsi
Loango weaver,P. subpersonatus
Loango weaver,Ploceus subpersonatus
Locust finch,Paludipasser locustella
Loggerhead kingbird,Tyrannus caudifasciatus
Loggerhead shrike,Lanius ludovicianus
Loja tyrannulet,Zimmerius flavidifrons
Lompobattang flycatcher,Ficedula bonthaina
Lompobattang leaf warbler,Phylloscopus sarasinorum
Long-bearded honeyeater,Melidectes princeps
Long-bearded honeyeater,Melionyx princeps
Long-billed bernieria,Bernieria madagascariensis
Long-billed bush warbler,Locustella major
Long-billed corella,Cacatua tenuirostris
Long-billed crombec,Sylvietta rufescens
Long-billed crow,Corvus validus
Long-billed cuckoo,Chrysococcyx megarhynchus
Long-billed curlew,Numenius americanus
Long-billed dowitcher,Limnodromus scolopaceus
Long-billed forest warbler,Artisornis moreaui
Long-billed hermit,Phaethornis longirostris
Long-billed honeyeater,Melilestes megarhynchus
Long-billed murrelet,Brachyramphus perdix
Long-billed partridge,Rhizothera longirostris
Long-billed pipit,Anthus similis
Long-billed plover,Charadrius placidus
Long-billed spiderhunter,Arachnothera robusta
Long-billed starthroat,Heliomaster longirostris
Long-billed thrasher,Toxostoma longirostre
Long-billed thrush,Zoothera monticola
Long-billed white-eye,Rukia longirostra
Long-billed woodcreeper,Nasica longirostris
Long-billed wren,Cantorchilus longirostris
Long-billed wren-babbler,Napothera malacoptila
Long-crested eagle,Lophaetus occipitalis
Long-crested myna,Basilornis corythaix
Long-crested pygmy tyrant,Lophotriccus eulophotes
Long-eared owl,Asio otus
Long-legged buzzard,Buteo rufinus
Long-legged pipit,Anthus pallidiventris
Long-legged thicketbird,Cincloramphus rufus
Long-tailed broadbill,Psarisomus dalhousiae
Long-tailed bush warbler,Locustella caudata
Long-tailed cinclodes,Cinclodes pabsti
Long-tailed cisticola,Cisticola angusticauda
Long-tailed duck,Clangula hyemalis
Long-tailed fantail,Rhipidura opistherythra
Long-tailed finch,Poephila acuticauda
Long-tailed fiscal,Lanius cabanisi
Long-tailed glossy starling,Lamprotornis caudatus
Long-tailed ground dove,Uropelia campestris
Long-tailed ground roller,Uratelornis chimaera
Long-tailed hawk,Urotriorchis macrourus
Long-tailed hermit,Phaethornis superciliosus
Long-tailed honey buzzard,Henicopernis longicauda
Long-tailed jaeger,Stercorarius longicaudus
Long-tailed manakin,Chiroxiphia linearis
Long-tailed meadowlark,Leistes loyca
Long-tailed minivet,Pericrocotus ethologus
Long-tailed mockingbird,Mimus longicaudatus
Long-tailed myna,Mino kreffti
Long-tailed nightjar,Caprimulgus climacurus
Long-tailed paradigalla,Paradigalla carunculata
Long-tailed paradise whydah,Vidua paradisaea
Long-tailed parakeet,Psittacula longicauda
Long-tailed potoo,Nyctibius aethereus
Long-tailed reed finch,Donacospiza albifrons
Long-tailed shrike,Lanius schach
Long-tailed sibia,Heterophasia picaoides
Long-tailed silky-flycatcher,Ptiliogonys caudatus
Long-tailed starling,Aplonis magna
Long-tailed sylph,Aglaiocercus kingii
Long-tailed tapaculo,Scytalopus micropterus
Long-tailed thrush,Zoothera dixoni
Long-tailed tit,Aegithalos caudatus
Long-tailed triller,Lalage leucopyga
Long-tailed tyrant,Colonia colonus
Long-tailed widowbird,E. progne
Long-tailed widowbird,Euplectes progne
Long-tailed widowbird,Ploceus weynsi
Long-tailed wood partridge,Dendrortyx macroura
Long-tailed woodnymph,Thalurania watertonii
Long-toed lapwing,Vanellus crassirostris
Long-toed stint,Calidris subminuta
Long-trained nightjar,Macropsalis forcipata
Long-tufted screech owl,Megascops sanctaecatarinae
Long-wattled umbrellabird,Cephalopterus penduliger
Long-whiskered owlet,Xenoglaux loweryi
Long-winged antwren,Myrmotherula longipennis
Long-winged harrier,Circus buffoni
Longuemare's sunangel,Heliangelus clarisse
Lord Derby's parakeet,Psittacula derbiana
Lord Howe gerygone,Gerygone insularis
Lord Howe parakeet,Cyanoramphus subflavescens
Lord Howe woodhen,Hypotaenidia sylvestris
Lorentz's whistler,Pachycephala lorentzi
Loria's satinbird,Cnemophilus loriae
Loten's sunbird,Cinnyris lotenius
Louisiade flowerpecker,Dicaeum nitidum
Louisiade pitta,Erythropitta meeki
Louisiade whistler,Pachycephala collaris
Louisiade white-eye,Zosterops griseotinctus
Louisiana waterthrush,Parkesia motacilla
Lovely cotinga,Cotinga amabilis
Lovely fairywren,Malurus amabilis
Lovely sunbird,Aethopyga shelleyi
Loveridge's sunbird,Cinnyris loveridgei
Lowland akalat,Sheppardia cyornithopsis
Lowland masked apalis,Apalis binotata
Lowland peltops,Peltops blainvillii
Lowland sooty boubou,Laniarius leucorhynchus
Lowland tiny greenbul,Phyllastrephus debilis
Lowland white-eye,Zosterops meyeni
Luapula cisticola,Cisticola luapula
Lucifer sheartail,Calothorax lucifer
Lucy's warbler,Leiothlypis luciae
Ludwig's bustard,Neotis ludwigii
Ludwig's double-collared sunbird,Cinnyris ludovicensis
Lufira masked weaver,Ploceus ruweti
Lufira masked weaver,P. ruweti
Lufira masked weaver,Ploceus weynsi
Lulu's tody-flycatcher,Poecilotriccus luluae
Lunulated antbird,Oneillornis lunulatus
Luzon bleeding-heart,Gallicolumba luzonica
Luzon boobook,Ninox philippensis
Luzon buttonquail,Turnix worcesteri
Luzon flameback,Chrysocolaptes haematribon
Luzon hornbill,Penelopides manillae
Luzon scops owl,Otus longicornis
Luzon striped babbler,Zosterornis striatus
Luzon water redstart,Phoenicurus bicolor
Lyall's wren,Traversia lyalli
Lynes's cisticola,Cisticola distinctus
Lyre-tailed honeyguide,Melichneutes robustus
Lyre-tailed nightjar,Uropsalis lyra
Lühder's bushshrike,Laniarius luehderi
MacGillivray's warbler,Geothlypis tolmiei
MacGregor's bowerbird,Amblyornis macgregoriae
MacGregor's honeyeater,Macgregoria pulchra
MacQueen's bustard,Chlamydotis macqueenii
Macaroni penguin,Eudyptes chrysolophus
Maccoa duck,Oxyura maccoa
Mackinlay's cuckoo-dove,Macropygia mackinlayi
Mackinnon's shrike,Lanius mackinnoni
Macleay's honeyeater,Xanthotis macleayanus
Macquarie parakeet,Cyanoramphus erythrotis
Macquarie shag,Leucocarbo purpurascens
Madagascan yellowbrow,Crossleyia xanthophrys
